TicketNumber,Latitude,Longitude,Zip,ClassificationType,Date,Time,Hour,CensusTract_2010,CensusBlock_2010,CountyName_2010,GEOID_2010,CensusTract_2010_ID,CensusTract_2010_NAME,CensusBlock_2010_ID,CensusBlock_2010_NAME
ML19014455,40.7238,-73.98564,10009,M,09/19/2019,03:12 PM,03 PM,32,4000,New York County,360610032004000,3200,Census Tract 32,4000,Block 4000
ML19015054,40.76061,-73.96434,10022,P,09/30/2019,06:05 PM,06 PM,110,3002,New York County,360610110003002,11000,Census Tract 110,3002,Block 3002
ML19015932,40.76709,-73.96662,10065,P,10/14/2019,07:09 PM,07 PM,120,3000,New York County,360610120003000,12000,Census Tract 120,3000,Block 3000
ML19016313,40.76059,-73.96938,10022,P,10/20/2019,03:37 PM,03 PM,112.03,2002,New York County,360610112032002,11203,Census Tract 112.03,2002,Block 2002
ML19016353,40.77316,-73.9819,10023,P,10/21/2019,11:06 AM,11 AM,149,2000,New York County,360610149002000,14900,Census Tract 149,2000,Block 2000
ML19016580,40.76931,-73.96363,10021,P,10/24/2019,10:59 AM,10 AM,120,4001,New York County,360610120004001,12000,Census Tract 120,4001,Block 4001
ML19016698,40.7623,-73.97236,10022,P,10/25/2019,08:39 PM,08 PM,112.02,1002,New York County,360610112021002,11202,Census Tract 112.02,1002,Block 1002
ML19016971,40.82015,-73.94952,10031,M,10/30/2019,10:25 AM,10 AM,217.03,1004,New York County,360610217031004,21703,Census Tract 217.03,1004,Block 1004
ML19017160,40.70933,-74.00187,10038,P,11/02/2019,10:05 AM,10 AM,15.01,2003,New York County,360610015012003,1501,Census Tract 15.01,2003,Block 2003
ML19017533,40.73597,-73.99567,10011,M,11/07/2019,12:54 PM,12 PM,63,1000,New York County,360610063001000,6300,Census Tract 63,1000,Block 1000
ML19017625,40.751,-73.98778,10018,M,11/08/2019,02:36 PM,02 PM,109,1007,New York County,360610109001007,10900,Census Tract 109,1007,Block 1007
ML19017662,40.71472,-73.99198,10002,M,11/09/2019,09:40 AM,09 AM,16,5006,New York County,360610016005006,1600,Census Tract 16,5006,Block 5006
ML19017863,40.74612,-73.97993,10016,P,11/12/2019,08:27 PM,08 PM,72,2000,New York County,360610072002000,7200,Census Tract 72,2000,Block 2000
ML19018126,40.84209,-73.92623,10452,M,11/17/2019,12:11 AM,12 AM,201,3000,Bronx County,360050201003000,20100,Census Tract 201,3000,Block 3000
ML19018255,40.78684,-73.94526,10029,M,11/19/2019,09:40 AM,09 AM,164,3005,New York County,360610164003005,16400,Census Tract 164,3005,Block 3005
ML19018685,40.77099,-73.96762,10021,M,11/25/2019,10:01 PM,10 PM,122,4000,New York County,360610122004000,12200,Census Tract 122,4000,Block 4000
ML19018711,40.73424,-73.99975,10014,M,11/26/2019,10:38 AM,10 AM,71,4004,New York County,360610071004004,7100,Census Tract 71,4004,Block 4004
ML19018928,40.75118,-73.98775,10018,M,11/30/2019,04:29 PM,04 PM,109,1007,New York County,360610109001007,10900,Census Tract 109,1007,Block 1007
ML19018965,40.79983,-73.94612,10029,M,12/01/2019,12:46 PM,12 PM,184,2001,New York County,360610184002001,18400,Census Tract 184,2001,Block 2001
ML19019045,40.78267,-73.98324,10023,P,12/03/2019,08:13 AM,08 AM,163,2000,New York County,360610163002000,16300,Census Tract 163,2000,Block 2000
ML19019101,40.76531,-73.96384,10065,M,12/04/2019,08:02 AM,08 AM,118,7000,New York County,360610118007000,11800,Census Tract 118,7000,Block 7000
ML19019205,40.82821,-73.94676,10031,M,12/05/2019,10:55 PM,10 PM,233,2000,New York County,360610233002000,23300,Census Tract 233,2000,Block 2000
ML19019215,40.77053,-73.96844,10065,M,12/06/2019,10:49 AM,10 AM,143,1033,New York County,360610143001033,14300,Census Tract 143,1033,Block 1033
ML19019260,40.7659,-73.98497,10019,P,12/06/2019,09:11 PM,09 PM,139,4000,New York County,360610139004000,13900,Census Tract 139,4000,Block 4000
ML19019294,40.77507,-73.9823,10023,P,12/07/2019,03:06 PM,03 PM,153,3001,New York County,360610153003001,15300,Census Tract 153,3001,Block 3001
QL18004912,40.75644,-73.80735,11358,M,06/27/2018,02:50 PM,02 PM,1199,1000,Queens County,360811199001000,119900,Census Tract 1199,1000,Block 1000
QL18008408,40.78152,-73.81713,11357,M,11/09/2018,08:30 AM,08 AM,1039,2009,Queens County,360811039002009,103900,Census Tract 1039,2009,Block 2009
QL19000266,40.78369,-73.81743,11357,P,01/04/2019,02:32 PM,02 PM,1039,2002,Queens County,360811039002002,103900,Census Tract 1039,2002,Block 2002
QL19002795,40.75786,-73.83412,11354,M,04/11/2019,08:40 PM,08 PM,871,1001,Queens County,360810871001001,87100,Census Tract 871,1001,Block 1001
QL19003739,40.71248,-74.0062,10007,M,05/22/2019,10:36 AM,10 AM,31,1022,New York County,360610031001022,3100,Census Tract 31,1022,Block 1022
QL19003872,40.73169,-73.82568,11367,M,05/30/2019,12:32 PM,12 PM,809,3000,Queens County,360810809003000,80900,Census Tract 809,3000,Block 3000
QL19004060,40.72929,-73.72616,11426,P,06/07/2019,10:48 AM,10 AM,1621,4001,Queens County,360811621004001,162100,Census Tract 1621,4001,Block 4001
QL19004565,40.75052,-73.7938,11358,M,06/26/2019,11:45 AM,11 AM,1417,1000,Queens County,360811417001000,141700,Census Tract 1417,1000,Block 1000
QL19006042,40.76377,-73.78737,11358,M,08/30/2019,08:22 AM,08 AM,1139,2011,Queens County,360811139002011,113900,Census Tract 1139,2011,Block 2011
QL19006050,40.77394,-73.79238,11358,M,08/30/2019,11:43 AM,11 AM,997.01,2011,Queens County,360810997012011,99701,Census Tract 997.01,2011,Block 2011
QL19006350,40.75066,-73.78429,11365,M,09/09/2019,01:27 PM,01 PM,1429,4000,Queens County,360811429004000,142900,Census Tract 1429,4000,Block 4000
QL19006654,40.75768,-73.78011,11361,M,09/17/2019,02:50 PM,02 PM,1463,1012,Queens County,360811463001012,146300,Census Tract 1463,1012,Block 1012
QL19006671,40.76396,-73.79784,11358,M,09/18/2019,11:40 AM,11 AM,1175,1005,Queens County,360811175001005,117500,Census Tract 1175,1005,Block 1005
QL19006735,40.7664,-73.73538,11362,M,09/20/2019,05:42 PM,05 PM,1507.02,1006,Queens County,360811507021006,150702,Census Tract 1507.02,1006,Block 1006
QL19006794,40.78726,-73.84473,11356,M,09/23/2019,12:28 PM,12 PM,947,2004,Queens County,360810947002004,94700,Census Tract 947,2004,Block 2004
QL19006833,40.77905,-73.909,11105,M,09/24/2019,09:06 PM,09 PM,111,1001,Queens County,360810111001001,11100,Census Tract 111,1001,Block 1001
QL19006866,40.75589,-73.79377,11358,M,09/25/2019,06:38 PM,06 PM,1459,1002,Queens County,360811459001002,145900,Census Tract 1459,1002,Block 1002
QL19007058,40.77006,-73.8457,11354,P,10/02/2019,01:02 PM,01 PM,907,1029,Queens County,360810907001029,90700,Census Tract 907,1029,Block 1029
QL19007363,40.74771,-73.77475,11364,M,10/14/2019,10:16 AM,10 AM,1409.01,1008,Queens County,360811409011008,140901,Census Tract 1409.01,1008,Block 1008
QL19007441,40.74665,-73.71763,11004,M,10/16/2019,10:02 AM,10 AM,1551.02,4004,Queens County,360811551024004,155102,Census Tract 1551.02,4004,Block 4004
QL19007859,40.74645,-73.82433,11355,P,10/26/2019,11:55 AM,11 AM,799,1005,Queens County,360810799001005,79900,Census Tract 799,1005,Block 1005
QL19008127,40.76013,-73.77501,11361,P,11/03/2019,03:11 PM,03 PM,1467,3006,Queens County,360811467003006,146700,Census Tract 1467,3006,Block 3006
QL19008248,40.74726,-73.71899,11004,M,11/06/2019,11:28 AM,11 AM,1551.02,5003,Queens County,360811551025003,155102,Census Tract 1551.02,5003,Block 5003
QL19008283,40.74348,-73.87057,11373,M,11/07/2019,08:15 AM,08 AM,463,2003,Queens County,360810463002003,46300,Census Tract 463,2003,Block 2003
QL19008327,40.75178,-73.76709,11364,M,11/07/2019,04:47 PM,04 PM,1399,2008,Queens County,360811399002008,139900,Census Tract 1399,2008,Block 2008
QL19008577,40.74292,-73.77616,11365,M,11/14/2019,07:09 PM,07 PM,1347,2001,Queens County,360811347002001,134700,Census Tract 1347,2001,Block 2001
QL19008585,40.76676,-73.76452,11361,M,11/15/2019,10:21 AM,10 AM,1113,3008,Queens County,360811113003008,111300,Census Tract 1113,3008,Block 3008
QL19008627,40.74871,-73.77522,11364,M,11/16/2019,07:50 PM,07 PM,1409.01,1001,Queens County,360811409011001,140901,Census Tract 1409.01,1001,Block 1001
QL19008716,40.73265,-73.74766,11427,M,11/19/2019,05:56 PM,05 PM,1291.02,4007,Queens County,360811291024007,129102,Census Tract 1291.02,4007,Block 4007
QL19008745,40.75133,-73.71331,11005,M,11/20/2019,02:04 PM,02 PM,1551.02,3000,Queens County,360811551023000,155102,Census Tract 1551.02,3000,Block 3000
QL19008776,40.72636,-73.78429,11432,M,11/21/2019,10:49 AM,10 AM,1277,2008,Queens County,360811277002008,127700,Census Tract 1277,2008,Block 2008
QL19008864,40.7391,-73.81825,11367,P,11/23/2019,05:44 PM,05 PM,803.02,3014,Queens County,360810803023014,80302,Census Tract 803.02,3014,Block 3014
QL19008929,40.7503,-73.81877,11355,M,11/25/2019,12:29 PM,12 PM,1205,1004,Queens County,360811205001004,120500,Census Tract 1205,1004,Block 1004
QL19008963,40.72236,-73.80969,11366,M,11/26/2019,09:37 AM,09 AM,1257,3002,Queens County,360811257003002,125700,Census Tract 1257,3002,Block 3002
QL19008982,40.78938,-73.82366,11357,M,11/26/2019,01:16 PM,01 PM,945,2002,Queens County,360810945002002,94500,Census Tract 945,2002,Block 2002
QL19009008,40.74726,-73.71899,11004,M,11/27/2019,10:31 AM,10 AM,1551.02,5003,Queens County,360811551025003,155102,Census Tract 1551.02,5003,Block 5003
QL19009018,40.78805,-73.84566,11356,M,11/27/2019,01:35 PM,01 PM,939,2007,Queens County,360810939002007,93900,Census Tract 939,2007,Block 2007
QL19009153,40.75569,-73.82005,11355,P,12/03/2019,05:58 PM,05 PM,859,2001,Queens County,360810859002001,85900,Census Tract 859,2001,Block 2001
QL19009158,40.75569,-73.82005,11355,M,12/04/2019,12:41 AM,12 AM,859,2001,Queens County,360810859002001,85900,Census Tract 859,2001,Block 2001
QL19009181,40.75517,-73.76488,11364,M,12/04/2019,01:02 PM,01 PM,1441,4001,Queens County,360811441004001,144100,Census Tract 1441,4001,Block 4001
QL19009199,40.74702,-73.71854,11004,M,12/04/2019,03:32 PM,03 PM,1551.02,4004,Queens County,360811551024004,155102,Census Tract 1551.02,4004,Block 4004
QL19009212,40.74871,-73.79223,11358,P,12/05/2019,09:02 AM,09 AM,1417,2004,Queens County,360811417002004,141700,Census Tract 1417,2004,Block 2004
QL19009221,40.73488,-73.74941,11427,P,12/05/2019,11:16 AM,11 AM,1291.02,4004,Queens County,360811291024004,129102,Census Tract 1291.02,4004,Block 4004
QL19009224,40.72777,-73.72577,11426,P,12/05/2019,11:39 AM,11 AM,1621,4005,Queens County,360811621004005,162100,Census Tract 1621,4005,Block 4005
QL19009246,40.75569,-73.82005,11355,M,12/05/2019,09:07 PM,09 PM,859,2001,Queens County,360810859002001,85900,Census Tract 859,2001,Block 2001
QL19009252,40.74807,-73.72101,11004,P,12/06/2019,08:54 AM,08 AM,1567,1000,Queens County,360811567001000,156700,Census Tract 1567,1000,Block 1000
QL19009253,40.77335,-73.81141,11354,M,12/06/2019,09:08 AM,09 AM,1059,2005,Queens County,360811059002005,105900,Census Tract 1059,2005,Block 2005
QL19009256,40.73466,-73.71296,11001,P,12/06/2019,09:50 AM,09 AM,1571.01,7012,Queens County,360811571017012,157101,Census Tract 1571.01,7012,Block 7012
QL19009264,40.73859,-73.79726,11365,P,12/06/2019,11:54 AM,11 AM,1215,1000,Queens County,360811215001000,121500,Census Tract 1215,1000,Block 1000
QL19009296,40.70015,-73.78396,11433,M,12/07/2019,11:11 AM,11 AM,414,3001,Queens County,360810414003001,41400,Census Tract 414,3001,Block 3001
WL17007806,40.99023,-73.8232,10583,M,08/09/2017,03:23 PM,03 PM,107.01,2025,Westchester County,361190107012025,10701,Census Tract 107.01,2025,Block 2025
WL18002550,41.03169,-73.86765,10533,M,02/15/2018,02:45 PM,02 PM,113,3012,Westchester County,361190113003012,11300,Census Tract 113,3012,Block 3012
WL18009064,41.15131,-73.76978,10514,M,08/10/2018,09:33 AM,09 AM,131.02,3032,Westchester County,361190131023032,13102,Census Tract 131.02,3032,Block 3032
WL19000217,41.02267,-73.87048,10522,M,01/07/2019,02:50 PM,02 PM,113,3025,Westchester County,361190113003025,11300,Census Tract 113,3025,Block 3025
WL19000325,40.91821,-73.82872,10550,M,01/10/2019,11:06 AM,11 AM,40,1000,Westchester County,361190040001000,4000,Census Tract 40,1000,Block 1000
WL19000383,41.20206,-73.64379,10506,P,01/11/2019,10:03 PM,10 PM,127,2004,Westchester County,361190127002004,12700,Census Tract 127,2004,Block 2004
WL19000570,40.89496,-73.77982,10805,M,01/14/2019,03:24 PM,03 PM,57.01,2002,Westchester County,361190057012002,5701,Census Tract 57.01,2002,Block 2002
WL19000619,40.93447,-73.79094,10804,M,01/15/2019,02:43 PM,02 PM,67,4012,Westchester County,361190067004012,6700,Census Tract 67,4012,Block 4012
WL19000734,40.96744,-73.73648,10543,M,01/18/2019,08:51 AM,08 AM,73,2011,Westchester County,361190073002011,7300,Census Tract 73,2011,Block 2011
WL19000754,40.9279,-73.83229,10552,M,01/18/2019,01:11 PM,01 PM,44,3013,Westchester County,361190044003013,4400,Census Tract 44,3013,Block 3013
WL19001552,41.01017,-73.754,10605,M,02/04/2019,08:28 AM,08 AM,97.01,2004,Westchester County,361190097012004,9701,Census Tract 97.01,2004,Block 2004
WL19001708,40.91508,-73.84718,10550,M,02/06/2019,10:24 AM,10 AM,37,3009,Westchester County,361190037003009,3700,Census Tract 37,3009,Block 3009
WL19001720,40.94931,-73.83468,10708,M,02/06/2019,12:43 PM,12 PM,22.02,3003,Westchester County,361190022023003,2202,Census Tract 22.02,3003,Block 3003
WL19001940,41.04208,-73.74286,10604,M,02/11/2019,10:12 AM,10 AM,87,1013,Westchester County,361190087001013,8700,Census Tract 87,1013,Block 1013
WL19001972,41.006,-73.68206,10573,M,02/11/2019,02:41 PM,02 PM,83.01,2030,Westchester County,361190083012030,8301,Census Tract 83.01,2030,Block 2030
WL19002215,40.92179,-73.85308,10704,M,02/16/2019,02:28 PM,02 PM,24.03,2002,Westchester County,361190024032002,2403,Census Tract 24.03,2002,Block 2002
WL19002393,41.15429,-73.85989,10562,M,02/21/2019,02:06 PM,02 PM,133.04,2008,Westchester County,361190133042008,13304,Census Tract 133.04,2008,Block 2008
WL19003247,40.97197,-73.86753,10710,M,03/12/2019,10:38 AM,10 AM,9,1002,Westchester County,361190009001002,900,Census Tract 9,1002,Block 1002
WL19003540,40.95609,-73.71953,10543,M,03/18/2019,12:04 PM,12 PM,74.02,2012,Westchester County,361190074022012,7402,Census Tract 74.02,2012,Block 2012
WL19003737,40.91848,-73.84776,10704,M,03/22/2019,05:49 PM,05 PM,24.03,1002,Westchester County,361190024031002,2403,Census Tract 24.03,1002,Block 1002
WL19004012,40.94436,-73.85998,10701,P,03/29/2019,04:02 PM,04 PM,17,2026,Westchester County,361190017002026,1700,Census Tract 17,2026,Block 2026
WL19004326,40.93299,-73.79124,10804,M,04/07/2019,12:26 PM,12 PM,67,4014,Westchester County,361190067004014,6700,Census Tract 67,4014,Block 4014
WL19004496,40.96739,-73.78774,10804,M,04/11/2019,02:27 PM,02 PM,68.01,3015,Westchester County,361190068013015,6801,Census Tract 68.01,3015,Block 3015
WL19005529,41.00428,-73.67043,10573,M,05/08/2019,11:34 AM,11 AM,80,3008,Westchester County,361190080003008,8000,Census Tract 80,3008,Block 3008
WL19006204,40.94422,-73.86053,10701,M,05/23/2019,11:11 AM,11 AM,17,1003,Westchester County,361190017001003,1700,Census Tract 17,1003,Block 1003
WL19006263,41.00924,-73.66526,10573,M,05/24/2019,10:55 AM,10 AM,81,4003,Westchester County,361190081004003,8100,Census Tract 81,4003,Block 4003
WL19006278,40.91559,-73.8222,10553,M,05/25/2019,07:31 AM,07 AM,41,3023,Westchester County,361190041003023,4100,Census Tract 41,3023,Block 3023
WL19006302,40.94876,-73.76571,10538,M,05/26/2019,05:52 PM,05 PM,69,2014,Westchester County,361190069002014,6900,Census Tract 69,2014,Block 2014
WL19006523,40.954,-73.72552,10543,M,06/03/2019,01:31 PM,01 PM,74.01,3008,Westchester County,361190074013008,7401,Census Tract 74.01,3008,Block 3008
WL19007098,41.04866,-73.85479,10533,M,06/14/2019,11:07 AM,11 AM,114,1047,Westchester County,361190114001047,11400,Census Tract 114,1047,Block 1047
WL19007151,41.01079,-73.65972,10573,M,06/15/2019,11:09 AM,11 AM,81,4007,Westchester County,361190081004007,8100,Census Tract 81,4007,Block 4007
WL19007159,41.13583,-73.85834,10510,M,06/15/2019,04:44 PM,04 PM,132.01,2021,Westchester County,361190132012021,13201,Census Tract 132.01,2021,Block 2021
WL19007304,40.91142,-73.88905,10705,P,06/19/2019,09:03 PM,09 PM,13.02,3000,Westchester County,361190013023000,1302,Census Tract 13.02,3000,Block 3000
WL19007383,41.18485,-73.84476,10562,M,06/21/2019,06:47 PM,06 PM,137,3004,Westchester County,361190137003004,13700,Census Tract 137,3004,Block 3004
WL19007610,40.95516,-73.72869,10543,M,06/27/2019,03:41 PM,03 PM,74.01,3004,Westchester County,361190074013004,7401,Census Tract 74.01,3004,Block 3004
WL19007749,40.96278,-73.80429,10709,M,07/02/2019,09:15 AM,09 AM,50.02,3013,Westchester County,361190050023013,5002,Census Tract 50.02,3013,Block 3013
WL19007956,40.94618,-73.75551,10538,M,07/09/2019,10:52 AM,10 AM,69,3015,Westchester County,361190069003015,6900,Census Tract 69,3015,Block 3015
WL19008220,41.16097,-73.76753,10514,M,07/16/2019,12:16 PM,12 PM,131.02,2007,Westchester County,361190131022007,13102,Census Tract 131.02,2007,Block 2007
WL19008235,41.02989,-73.8665,10533,M,07/16/2019,03:34 PM,03 PM,113,2005,Westchester County,361190113002005,11300,Census Tract 113,2005,Block 2005
WL19008262,41.15093,-73.77376,10514,M,07/17/2019,11:28 AM,11 AM,121.01,2002,Westchester County,361190121012002,12101,Census Tract 121.01,2002,Block 2002
WL19008334,41.00801,-73.87959,10522,M,07/18/2019,10:49 PM,10 PM,104,3010,Westchester County,361190104003010,10400,Census Tract 104,3010,Block 3010
WL19008491,41.02616,-73.67817,10573,M,07/23/2019,04:48 PM,04 PM,83.02,1003,Westchester County,361190083021003,8302,Census Tract 83.02,1003,Block 1003
WL19008670,41.00518,-73.83689,10502,M,07/28/2019,02:00 PM,02 PM,106,3042,Westchester County,361190106003042,10600,Census Tract 106,3042,Block 3042
WL19008890,41.02997,-73.86585,10533,M,08/03/2019,12:38 PM,12 PM,113,2005,Westchester County,361190113002005,11300,Census Tract 113,2005,Block 2005
WL19009072,41.01787,-73.73035,10605,M,08/08/2019,12:19 PM,12 PM,97.02,2026,Westchester County,361190097022026,9702,Census Tract 97.02,2026,Block 2026
WL19009118,41.04031,-73.77239,10603,M,08/09/2019,12:11 PM,12 PM,90,2000,Westchester County,361190090002000,9000,Census Tract 90,2000,Block 2000
WL19009315,41.16423,-73.77766,10514,M,08/14/2019,01:37 PM,01 PM,131.04,3021,Westchester County,361190131043021,13104,Census Tract 131.04,3021,Block 3021
WL19009341,41.29223,-73.78134,10598,M,08/15/2019,11:17 AM,11 AM,148.08,2043,Westchester County,361190148082043,14808,Census Tract 148.08,2043,Block 2043
WL19009344,40.91798,-73.82516,10550,M,08/15/2019,11:29 AM,11 AM,41,3006,Westchester County,361190041003006,4100,Census Tract 41,3006,Block 3006
WL19009349,40.95379,-73.77854,10804,M,08/15/2019,12:52 PM,12 PM,68.02,1001,Westchester County,361190068021001,6802,Census Tract 68.02,1001,Block 1001
WL19009632,40.94043,-73.898,10701,M,08/23/2019,06:54 AM,06 AM,4.02,2006,Westchester County,361190004022006,402,Census Tract 4.02,2006,Block 2006
WL19009811,40.95506,-73.72896,10543,M,08/25/2019,01:10 PM,01 PM,74.01,3009,Westchester County,361190074013009,7401,Census Tract 74.01,3009,Block 3009
WL19009830,41.02333,-73.76261,10605,M,08/26/2019,10:21 AM,10 AM,95,2000,Westchester County,361190095002000,9500,Census Tract 95,2000,Block 2000
WL19009840,40.9559,-73.83068,10707,M,08/26/2019,12:38 PM,12 PM,22.01,1032,Westchester County,361190022011032,2201,Census Tract 22.01,1032,Block 1032
WL19010282,40.9404,-73.77872,10804,M,09/05/2019,10:46 AM,10 AM,67,3003,Westchester County,361190067003003,6700,Census Tract 67,3003,Block 3003
WL19010513,41.03575,-73.86528,10533,M,09/08/2019,05:26 PM,05 PM,113,4015,Westchester County,361190113004015,11300,Census Tract 113,4015,Block 4015
WL19010588,41.03575,-73.86528,10533,M,09/10/2019,10:57 AM,10 AM,113,4015,Westchester County,361190113004015,11300,Census Tract 113,4015,Block 4015
WL19010622,41.0264,-73.78412,10606,M,09/11/2019,08:13 AM,08 AM,91,2003,Westchester County,361190091002003,9100,Census Tract 91,2003,Block 2003
WL19010625,40.9441,-73.74502,10543,M,09/11/2019,10:28 AM,10 AM,72,5009,Westchester County,361190072005009,7200,Census Tract 72,5009,Block 5009
WL19010997,40.96053,-73.68665,10580,M,09/19/2019,10:31 AM,10 AM,76,3007,Westchester County,361190076003007,7600,Census Tract 76,3007,Block 3007
WL19011060,40.94103,-73.82635,10708,M,09/20/2019,10:50 AM,10 AM,47,2030,Westchester County,361190047002030,4700,Census Tract 47,2030,Block 2030
WL19011075,40.98416,-73.88071,10706,M,09/20/2019,01:09 PM,01 PM,103,2005,Westchester County,361190103002005,10300,Census Tract 103,2005,Block 2005
WL19011272,41.13798,-73.85739,10510,M,09/25/2019,02:49 PM,02 PM,132.01,2016,Westchester County,361190132012016,13201,Census Tract 132.01,2016,Block 2016
WL19011352,41.16382,-73.77702,10514,M,09/27/2019,11:17 AM,11 AM,131.04,4015,Westchester County,361190131044015,13104,Census Tract 131.04,4015,Block 4015
WL19011381,41.06503,-73.85259,10591,M,09/27/2019,02:44 PM,02 PM,114,2002,Westchester County,361190114002002,11400,Census Tract 114,2002,Block 2002
WL19011463,40.91451,-73.89688,10705,M,09/29/2019,09:54 AM,09 AM,13.03,4002,Westchester County,361190013034002,1303,Census Tract 13.03,4002,Block 4002
WL19011595,40.93615,-73.79246,10804,M,10/02/2019,01:18 PM,01 PM,67,3043,Westchester County,361190067003043,6700,Census Tract 67,3043,Block 3043
WL19011667,41.00832,-73.69052,10573,M,10/04/2019,11:20 AM,11 AM,83.02,4030,Westchester County,361190083024030,8302,Census Tract 83.02,4030,Block 4030
WL19011719,41.04609,-73.78983,10603,M,10/05/2019,01:23 PM,01 PM,109.02,4025,Westchester County,361190109024025,10902,Census Tract 109.02,4025,Block 4025
WL19011912,40.96384,-73.80527,10709,M,10/10/2019,03:34 PM,03 PM,50.02,3013,Westchester County,361190050023013,5002,Census Tract 50.02,3013,Block 3013
WL19012048,41.1662,-73.77858,10514,M,10/13/2019,06:02 PM,06 PM,131.04,3021,Westchester County,361190131043021,13104,Census Tract 131.04,3021,Block 3021
WL19012163,40.91132,-73.88899,10705,M,10/15/2019,06:05 PM,06 PM,13.02,3000,Westchester County,361190013023000,1302,Census Tract 13.02,3000,Block 3000
WL19012182,40.93436,-73.84828,10708,M,10/16/2019,10:35 AM,10 AM,22.04,3010,Westchester County,361190022043010,2204,Census Tract 22.04,3010,Block 3010
WL19012288,41.01797,-73.75686,10605,M,10/18/2019,01:57 PM,01 PM,97.02,1003,Westchester County,361190097021003,9702,Census Tract 97.02,1003,Block 1003
WL19012578,41.03174,-73.68545,10573,M,10/24/2019,02:24 PM,02 PM,83.02,3028,Westchester County,361190083023028,8302,Census Tract 83.02,3028,Block 3028
WL19012606,41.02704,-73.68682,10573,M,10/25/2019,11:10 AM,11 AM,83.02,2001,Westchester County,361190083022001,8302,Census Tract 83.02,2001,Block 2001
WL19012629,40.96669,-73.77363,10804,M,10/25/2019,03:33 PM,03 PM,68.02,2001,Westchester County,361190068022001,6802,Census Tract 68.02,2001,Block 2001
WL19012658,40.90537,-73.81209,10803,M,10/26/2019,02:33 PM,02 PM,54,2025,Westchester County,361190054002025,5400,Census Tract 54,2025,Block 2025
WL19012684,40.92349,-73.83197,10552,M,10/27/2019,02:15 PM,02 PM,39,1010,Westchester County,361190039001010,3900,Census Tract 39,1010,Block 1010
WL19012716,41.00829,-73.78643,10583,M,10/28/2019,11:00 AM,11 AM,100,3008,Westchester County,361190100003008,10000,Census Tract 100,3008,Block 3008
