Geoid,TotalCrime,Spring,Summer,Autumn,Winter,ALL_SEASONS,CountyName,CensusTract_2010_NAME,"[BURGLARY] BURGLARY,UNCLASSIFIED,NIGHT","[ANTICIPATORY OFFENSES] FACILITATION 4, CRIMINAL","[ARSON] ARSON, MOTOR VEHICLE 1 2 3 & 4","[BURGLARY] BURGLARY,COMMERCIAL,NIGHT","[BURGLARY] BURGLARY,RESIDENCE,UNKNOWN TIM",TAX LAW,[ASSAULT 3 & RELATED OFFENSES] OBSTR BREATH/CIRCUL,[ASSAULT 3 & RELATED OFFENSES] ASSAULT 3,"[BURGLARY] BURGLARY,COMMERCIAL,UNKNOWN TI",FALSE REPORT BOMB,[ALCOHOLIC BEVERAGE CONTROL LAW] ALCOHOLIC BEVERAGE CONTROL LAW,"[BURGLAR'S TOOLS] BURGLARS TOOLS,UNCLASSIFIED","[DANGEROUS DRUGS] MARIJUANA, POSSESSION 1, 2 & 3",[ARSON] ARSON 1,MATERIAL              OFFENSIV,"[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MISCHIEF,UNCLASSIFIED 4","[ARSON] ARSON 2,3,4","[DANGEROUS WEAPONS] WEAPONS, POSSESSION, ETC","[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 4, BY FIRE","[BURGLARY] BURGLARY,COMMERCIAL,DAY","THEFT OF SERVICES, UNCLASSIFIE","[BURGLARY] BURGLARY,RESIDENCE,NIGHT","[GRAND LARCENY] LARCENY,GRAND FROM PERSON,PICK","[ADMINISTRATIVE CODE] PEDDLING,UNLAWFUL","[ADMINISTRATIVE CODES] NOISE,UNECESSARY","[CRIMINAL MISCHIEF & RELATED OF] CRIMINAL MISCHIEF 4TH, GRAFFIT",RIOT 2/INCITING,"[BURGLARY] BURGLARY,UNCLASSIFIED,UNKNOWN","[GRAND LARCENY] LARCENY,GRAND BY ACQUIRING LOS","[BURGLARY] BURGLARY,UNCLASSIFIED,DAY","[ADMINISTRATIVE CODE] CIGARETTE,NO TAX STAMP,POSSESS","[BURGLARY] BURGLARY,TRUCK NIGHT","[FELONY ASSAULT] ASSAULT 2,1,UNCLASSIFIED","LEWDNESS,PUBLIC",SALE OF UNAUTHORIZED RECORDING,[ADMINISTRATIVE CODE] POSSES OR CARRY A KNIFE,[ADMINISTRATIVE CODE] IMITATION PISTOL/AIR RIFLE,[ADMINISTRATIVE CODE] GRAFFITI (ADMINISTRATIVE CODE-,"[ADMINISTRATIVE CODE] ALCOHOLIC BEVERAGES,PUBLIC CON","[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 4, OF MOTOR","[ADMINISTRATIVE CODE] ADM.CODE,UNCLASSIFIED VIOLATIO","[ASSAULT 3 & RELATED OFFENSES] MENACING,UNCLASSIFIED","[ANTICIPATORY OFFENSES] CONSPIRACY 6, 5",FALSE REPORT UNCLASSIFIED,"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 3 & 2, OF M","[ROBBERY] ROBBERY,OPEN AREA UNCLASSIFIED","[BURGLARY] BURGLARY,RESIDENCE,DAY","NUISANCE,CRIMINAL,UNCLASSIFIED","[ADMINISTRATIVE CODE] ADM.CODE,UNCLASSIFIED MISDEMEA","[ADMINISTRATIVE CODE] PARKR&R,UNCLASSIFIED VIOLATION",BoroughColors
36085027702,43,8,3,6,8,25,Richmond County,Census Tract 277.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36085027302,17,2,0,1,2,5,Richmond County,Census Tract 273.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085027301,21,2,4,1,1,8,Richmond County,Census Tract 273.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085025100,26,1,1,0,5,7,Richmond County,Census Tract 251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085024800,42,0,4,5,5,14,Richmond County,Census Tract 248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36085024700,31,1,1,4,4,10,Richmond County,Census Tract 247,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085024402,17,4,1,2,1,8,Richmond County,Census Tract 244.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085024401,25,1,5,5,3,14,Richmond County,Census Tract 244.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085023900,36,0,3,2,1,6,Richmond County,Census Tract 239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085023100,37,6,6,2,6,20,Richmond County,Census Tract 231,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022800,24,0,2,2,3,7,Richmond County,Census Tract 228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085022600,39,8,5,5,12,30,Richmond County,Census Tract 226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36085022300,35,0,0,0,1,1,Richmond County,Census Tract 223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085021300,44,3,3,1,4,11,Richmond County,Census Tract 213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085020804,24,3,4,3,3,13,Richmond County,Census Tract 208.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085020803,25,5,7,8,6,26,Richmond County,Census Tract 208.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085020801,45,5,5,7,7,24,Richmond County,Census Tract 208.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085020700,59,4,3,14,4,25,Richmond County,Census Tract 207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085020100,32,1,3,5,3,12,Richmond County,Census Tract 201,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085019800,37,6,3,4,3,16,Richmond County,Census Tract 198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085019700,13,0,1,5,0,6,Richmond County,Census Tract 197,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085018902,23,6,3,5,3,17,Richmond County,Census Tract 189.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085018901,24,2,3,3,1,9,Richmond County,Census Tract 189.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085018702,32,1,2,0,4,7,Richmond County,Census Tract 187.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085018701,11,0,0,2,0,2,Richmond County,Census Tract 187.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085018100,25,6,2,6,7,21,Richmond County,Census Tract 181,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017700,36,5,1,7,10,23,Richmond County,Census Tract 177,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017600,27,1,1,1,5,8,Richmond County,Census Tract 176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085017300,17,12,3,11,8,34,Richmond County,Census Tract 173,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017012,20,2,2,3,0,7,Richmond County,Census Tract 170.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36085017011,16,2,0,1,2,5,Richmond County,Census Tract 170.11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017010,23,6,5,6,8,25,Richmond County,Census Tract 170.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017009,19,3,3,2,5,13,Richmond County,Census Tract 170.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017008,23,6,5,4,4,19,Richmond County,Census Tract 170.08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017007,27,0,1,2,5,8,Richmond County,Census Tract 170.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085017005,21,1,0,4,4,9,Richmond County,Census Tract 170.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085016901,20,5,0,0,3,8,Richmond County,Census Tract 169.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015603,23,0,1,3,4,8,Richmond County,Census Tract 156.03,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015602,14,0,1,0,1,2,Richmond County,Census Tract 156.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015601,32,6,8,2,8,24,Richmond County,Census Tract 156.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085015100,22,4,2,3,1,10,Richmond County,Census Tract 151,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085014700,24,0,0,0,5,5,Richmond County,Census Tract 147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085014608,16,1,0,3,3,7,Richmond County,Census Tract 146.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36085014607,19,2,2,5,2,11,Richmond County,Census Tract 146.07,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085014606,25,7,7,4,8,26,Richmond County,Census Tract 146.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085014605,22,0,5,5,2,12,Richmond County,Census Tract 146.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085014604,34,7,2,5,6,20,Richmond County,Census Tract 146.04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085014100,29,0,0,1,0,1,Richmond County,Census Tract 141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013800,25,4,10,6,16,36,Richmond County,Census Tract 138,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013400,25,0,1,0,4,5,Richmond County,Census Tract 134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013302,52,3,8,7,3,21,Richmond County,Census Tract 133.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013204,24,1,2,1,0,4,Richmond County,Census Tract 132.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085013203,27,2,4,1,10,17,Richmond County,Census Tract 132.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085013201,13,0,2,4,1,7,Richmond County,Census Tract 132.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012806,28,2,3,0,4,9,Richmond County,Census Tract 128.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012805,15,0,0,0,2,2,Richmond County,Census Tract 128.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012804,33,0,0,4,1,5,Richmond County,Census Tract 128.04,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012500,27,0,1,2,2,5,Richmond County,Census Tract 125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012200,25,0,0,2,2,4,Richmond County,Census Tract 122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085012100,20,0,2,1,1,4,Richmond County,Census Tract 121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36085011402,26,1,1,2,1,5,Richmond County,Census Tract 114.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085011401,29,3,0,4,8,15,Richmond County,Census Tract 114.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085011202,63,4,4,4,5,17,Richmond County,Census Tract 112.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085011201,24,2,2,0,1,5,Richmond County,Census Tract 112.01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36085010500,46,2,1,1,4,8,Richmond County,Census Tract 105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36085009700,31,4,2,1,2,9,Richmond County,Census Tract 97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36085009602,18,5,2,3,4,14,Richmond County,Census Tract 96.02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
